headword,headword_clean,homonym,grammar,translation,source,raw
АЛФАВИТ,АЛФАВИТ,,,"Аа Бб Вв Гг Гъ гъ Гь гь ГI гI Дд Ее Жж Зз Ии Йй Кк Кк кК Къ къ Кь кь КI кI КIкI кIкI Лл Лъ лъ Лълъ лълъ Мм Нн Оо Пп ПI пI Рр Сс Сс сс Тт ТI тI Уу Хх Хх хх Хъ хъ Хь хь ХI хI Цц Цц цц ЦI цI ЦIцI цIцI Чч Чч чч ЧI чI ЧIчI чIчI Шш Щщ Ъ (ʼ ) Ээ Юю Яя Палатализованный сонорный н', не характерный для остальных говоров диалекта, представлен в",Саидова 2019 — Андалальский диалект,"Аа Бб Вв Гг Гъ гъ Гь гь ГI гI Дд Ее Жж Зз Ии Йй Кк Кк кК Къ къ Кь кь КI кI КIкI кIкI Лл Лъ лъ Лълъ лълъ Мм Нн Оо Пп ПI пI Рр Сс Сс сс Тт ТI тI Уу Хх Хх хх Хъ хъ Хь хь ХI хI Цц Цц цц ЦI цI ЦIцI цIцI Чч Чч чч ЧI чI ЧIчI чIчI Шш Щщ Ъ (ʼ ) Ээ Юю Яя Палатализованный сонорный н', не характерный для остальных говоров диалекта, представлен в бух., кег., сал. и хин.; звонкая шипящая аффриката дж встречается в бух. и салт. Назальные ан, ун, ин встречаются редко."
СЛОВАРЬ,СЛОВАРЬ,,,,Саидова 2019 — Андалальский диалект,
А/Б,А/Б,,"(-лълъ, -лълъул)","мест. указ. это, этот, эта (о близко расположенном предмете)",Саидова 2019 — Андалальский диалект,"(-лълъ, -лълъул) мест. указ. это, этот, эта (о близко расположенном предмете); алълъул берцинли щуби? как оно красиво! алълъул багьа щуби? какова его цена? сколько оно стоит? аб хабар тIибиттубуна мадугьалалълъ эти сплетни распространила соседка; см. гьаб"
АБА́,АБА́,,,ДИЯБ вечный,Саидова 2019 — Андалальский диалект,"ДИЯБ вечный; абадияб хIакъикъат вечная сущность; абадияб рокъ загробная жизнь; вечное пристанище, вечный мир; тот свет (букв. вечный дом)"
АБА́,АБА́,,,"ДАЛ–АБА́ ДАЛЪЛЪ нареч. 1) навеки, навсегда, навечно",Саидова 2019 — Андалальский диалект,"ДАЛ–АБА́ ДАЛЪЛЪ нареч. 1) навеки, навсегда, навечно; абадалабадалълъ анив адан хутIамаро человек вечно не остается в этом мире 2) перен. никогда; абадал-абадалълъ йигьларо дун нужехе никогда не приду я к вам"
АБАЖУ́,АБАЖУ́,,,"Р (-алълъ, -алълъул, -ал) абажур",Саидова 2019 — Андалальский диалект,"Р (-алълъ, -алълъул, -ал) абажур; ххамил абажур абажур из ткани; хьухьун гьубураб абажур плетеный абажур"
АБАЗИ́Н,АБАЗИ́Н,,,абазинский,Саидова 2019 — Андалальский диалект,абазинский; абазин мацIцI абазинский язык
АБАЗИ́НА/В,АБАЗИ́НА/В,,"(-сс, -ссул)",абазинец,Саидова 2019 — Андалальский диалект,"(-сс, -ссул) абазинец"
АБАЗИ́НАЗУЛ,АБАЗИ́НАЗУЛ,,,1. род.п. от абази́ нал 2. абазинский,Саидова 2019 — Андалальский диалект,1. род.п. от абази́ нал 2. абазинский; абазиназул мацIцI абазинский язык
АБАЗИ́НА/Й,АБАЗИ́НА/Й,,"(-лълъ, -лълъул)",абазинка,Саидова 2019 — Андалальский диалект,"(-лълъ, -лълъул) абазинка"
АБАЗИ́НА/Л,АБАЗИ́НА/Л,,"(-з, -зул)","абазины; абазиназул гIадат обычай абазинов А́ БАРА/В (-сс, -ссул, -л) помолвленный парень, жених; абарав (вас) рикъив ахIде пригласить жениха в гости; абарассе йиамаро ячарассе гунни погов. невеста достается не тому, кто сватается, а тому, кто женится;",Саидова 2019 — Андалальский диалект,"(-з, -зул) абазины; абазиназул гIадат обычай абазинов А́ БАРА/В (-сс, -ссул, -л) помолвленный парень, жених; абарав (вас) рикъив ахIде пригласить жениха в гости; абарассе йиамаро ячарассе гунни погов. невеста достается не тому, кто сватается, а тому, кто женится; руг. ра́ гIи би́ царав А́ БАРА/Й (-лълъ, -лълъул, -л) 1. 1) прич. от гл. засватать 2) засватанная 2. помолвленная, засватанная, невеста; абарай хьвадув нухI дорога, по которой ходит невеста; абарай яс дида сон йихьана я вчера видел засватанную девушку; сал. а́ бурай, руг. ра́ гIи би́ царай А́ БГИ мест. и это, это тоже; абги дуй тараб жо буго это тоже оставлено тебе; абги босун мун киви вамав? куда ты идешь, забарав и это? абги ххенен, дун нах юссла помолов это (тоже), я вернусь; см. гьа́ вги А́ БГО (а́ лълъго, алълъу́ лго, а́ лго) мест. 1) что за; абго щуб хабари? это что за разговоры? абго щуби лълъугIамараб дагIба? что за бесконечный спор? 2) это же, этот же; абго бице дубаги и там говори это же; абго бичид квана нилълъер хIур этот же теленок потравил наши посевы"
АБДА́,АБДА́,,,"Л (-асс, -ассул, -заби) сумасшедший, безумец, дурак, глупец; кIудав абдал круглый дурак; вахьарав абдал набитый дурак; уварав абдал законченный дурак;",Саидова 2019 — Андалальский диалект,"Л (-асс, -ассул, -заби) сумасшедший, безумец, дурак, глупец; кIудав абдал круглый дурак; вахьарав абдал набитый дурак; уварав абдал законченный дурак; суг. гIабда́ л"
АБДА́,АБДА́,,,"ЛМАХIАВ глуповатый, дураковатый, придурковатый; абдалмахIав чи глуповатый человек А́ Б/ДЕ (-ама, -ла, -ана, -е) говорить, сказать; молвить, промолвить, вымолвить; высказаться, высказываться; заявлять о чем-л.; цо рагIи абде сказать одно слово; кинабго абде буго выскажу все; хIерасс цо жо абана старик что-то промолвил; эбелълъ абараб ясалълъ гьубуна то что сказала мать, дочь выполнила; гIемер абде тIамуго не заставляй говорить много (раз); ццебеккунго абде сказать заранее; абде жо гьамаро не знаю, что сказать; исс абараб жо щуби? что он сказал? цо-кIиго рагIи бицана илълъда сказал ей пару слов  абде рагIи гьечIаб безупречный; бардиб абде сказать в лицо; абараб рагIи – реххараб чIор посл. сказанное слово – выпущенная стрела; соотв. слово не воробей, вылетит – не поймаешь; белэгьанас абараб бах хIама бухьини, бацIид чIваниги асса беххе погов. если привяжешь осла там, где велел хозяин, если волк задрал осла, это не твоя вина; куяд. а́ бизе А́ Б/ДЕ2 (-ама, -ла, -ана, -е) помолвить кого-л., сватать, посватать, сосватать кого-л.; яс абде сватать девушку; абарай яс помолвленная девушка, невеста; куяд. а́ бизе,",Саидова 2019 — Андалальский диалект,"ЛМАХIАВ глуповатый, дураковатый, придурковатый; абдалмахIав чи глуповатый человек А́ Б/ДЕ (-ама, -ла, -ана, -е) говорить, сказать; молвить, промолвить, вымолвить; высказаться, высказываться; заявлять о чем-л.; цо рагIи абде сказать одно слово; кинабго абде буго выскажу все; хIерасс цо жо абана старик что-то промолвил; эбелълъ абараб ясалълъ гьубуна то что сказала мать, дочь выполнила; гIемер абде тIамуго не заставляй говорить много (раз); ццебеккунго абде сказать заранее; абде жо гьамаро не знаю, что сказать; исс абараб жо щуби? что он сказал? цо-кIиго рагIи бицана илълъда сказал ей пару слов  абде рагIи гьечIаб безупречный; бардиб абде сказать в лицо; абараб рагIи – реххараб чIор посл. сказанное слово – выпущенная стрела; соотв. слово не воробей, вылетит – не поймаешь; белэгьанас абараб бах хIама бухьини, бацIид чIваниги асса беххе погов. если привяжешь осла там, где велел хозяин, если волк задрал осла, это не твоя вина; куяд. а́ бизе А́ Б/ДЕ2 (-ама, -ла, -ана, -е) помолвить кого-л., сватать, посватать, сосватать кого-л.; яс абде сватать девушку; абарай яс помолвленная девушка, невеста; куяд. а́ бизе, гам. а́ бзе А́ БДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. заставлять, принуждать что-л. говорить, вымолвить; цониги рагIи абдубуде кIвечIо иссда не смогли заставить его вымолвить хоть одно слово А́ БИ 1. масд. гл. а́ бде 2. (-ялълъ, -ялълъул) помолвка; сватанье; яс аби киназдуго гьана все узнали о помолвке дочери А́ БИ 2 (-ялълъ, -ялълъул) 1) поговорка, пословица 2) сказание, предание; умумазул аби буго … есть поговорка (предание) предков… умумазул абиялълъда рокъон согласно преданию предков; см. кици́ , беце́ н А́ БНИ мест. что касается этого, это-то; абни дилълъа гьаниб тела это-то я оставлю здесь; абни дида кIочон тиларо что касается этого, – я не забуду; кд., сал., хин. гьаб"
АБТАМА́,АБТАМА́,,,"Т (-алълъ, -алълъул, -ал) 1) автомат (оружие)",Саидова 2019 — Андалальский диалект,"Т (-алълъ, -алълъул, -ал) 1) автомат (оружие); абтамат кьвагьде стрелять из автомата 2) телефон-автомат; лълъин бичув абтамат автомат для продажи воды"
АБТЕ́,АБТЕ́,,,"КА (-лълъ//-д, -лълъул // -дул, -би) аптека",Саидова 2019 — Андалальский диалект,"КА (-лълъ//-д, -лълъул // -дул, -би) аптека; абтекалълъ(а) венде пойти в аптеку; абтекалълъасса босде купить из аптеки; абтека ричIде открывать аптеку; яцц абтекалълъа хIалтIамай йиго сестра работает в аптеке"
АБТЕ́,АБТЕ́,,,"КАР (-асс, -ассул, -ал) аптекарь, работник аптеки",Саидова 2019 — Андалальский диалект,"КАР (-асс, -ассул, -ал) аптекарь, работник аптеки"
АБТЕ́,АБТЕ́,,,"КАРЛИ (-ялълъ, -ялълъул) профессия, работа, должность аптекаря",Саидова 2019 — Андалальский диалект,"КАРЛИ (-ялълъ, -ялълъул) профессия, работа, должность аптекаря; абтекарли гьубуде работать аптекарем"
АБТО́,АБТО́,,,"БУС (-алълъ, -алълъул, -ал) автобус; абтобус чIчIав бакI автобусная остановка; абтобусал ригьана автобусы прибыли; абтобусалълъ вигьде приехать на автобусе; абтобусалълъул гьикибер колесо автобуса; абтобусалълъа ад рекIенде сесть на автобус А́ БУВ (//АВ) 1. прич.гл. а́ бде 2. который называется; Ноходиб абув бах буго дир хIерав энссул мархьи в местности, которая называется Ноходиб, находится хутор моего дедушки;",Саидова 2019 — Андалальский диалект,"БУС (-алълъ, -алълъул, -ал) автобус; абтобус чIчIав бакI автобусная остановка; абтобусал ригьана автобусы прибыли; абтобусалълъ вигьде приехать на автобусе; абтобусалълъул гьикибер колесо автобуса; абтобусалълъа ад рекIенде сесть на автобус А́ БУВ (//АВ) 1. прич.гл. а́ бде 2. который называется; Ноходиб абув бах буго дир хIерав энссул мархьи в местности, которая называется Ноходиб, находится хутор моего дедушки; кег. аби́ няб, сал. аби́ неб, кд. а́ булеб"
АБУ́,АБУ́,,,"НДАЧ (-алълъ, -алълъул, -ал) прибаутки, побасенки, байки; абундачал рицде рассказывать байки;",Саидова 2019 — Андалальский диалект,"НДАЧ (-алълъ, -алълъул, -ал) прибаутки, побасенки, байки; абундачал рицде рассказывать байки; суг. абунда́ чал «слухи»"
АБУ́,АБУ́,,,"НЗАБ/И (-аз, -азул) мн. сплетни;",Саидова 2019 — Андалальский диалект,"НЗАБ/И (-аз, -азул) мн. сплетни; суг. абу́ нжиби А́ БУНЧИ (-ясс, -яссул, -ял) сват; абунчи витте послать свата; отправить свата; кд. гьоркьо́ вчи, сал. абу́ нчи А́ БУХ(Е) вводн.сл. как говорится, как говорят, как принято говорить; адамаз абухе как говорится в народе; хIерасс абух рии ракъдалаб бигьана как говорил (предсказал) дед, лето выдалось засушливым; кег., сал. а́ бухъе"
АБХА́,АБХА́,,,З абхазский,Саидова 2019 — Андалальский диалект,З абхазский; абхаз мацIцI абхазский язык
АБХА́,АБХА́,,,"ЗА/В (-сс, -ссул) абхазец",Саидова 2019 — Андалальский диалект,"ЗА/В (-сс, -ссул) абхазец"
АБХА́,АБХА́,,,ЗАЗУЛ 1. род.п. от абха́ зал 2. абхазский,Саидова 2019 — Андалальский диалект,ЗАЗУЛ 1. род.п. от абха́ зал 2. абхазский; абхазазул ракь абхазская земля; абхазазул мацIцI абхазский язык
АБХА́,АБХА́,,,"ЗА/Й (-лълъ, -лълъул) абхазка",Саидова 2019 — Андалальский диалект,"ЗА/Й (-лълъ, -лълъул) абхазка"
АБХА́,АБХА́,,,"ЗА/Л (-з, -зул) абхазы, абхазцы",Саидова 2019 — Андалальский диалект,"ЗА/Л (-з, -зул) абхазы, абхазцы"
АБЩИЖИ́Т,АБЩИЖИ́Т,,"(-алълъ, -алълъул, -л)",общежитие; студентазул абщижит общежитие студентов; абщижиталълъ чIчIеде поселиться в общежитие А́ БЩИНАБ нареч. столько; абщинаб гIарац лълъиди дуй кьураб? кто тебе дал столько денег? абщинаб мехалълъ нуж кир руарал? где вы были столько времени?,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -л) общежитие; студентазул абщижит общежитие студентов; абщижиталълъ чIчIеде поселиться в общежитие А́ БЩИНАБ нареч. столько; абщинаб гIарац лълъиди дуй кьураб? кто тебе дал столько денег? абщинаб мехалълъ нуж кир руарал? где вы были столько времени? кег. гьа́ бщиняб, кд. гьа́ бщинаб"
АВ,АВ,,"(асс, ассул, ал)",этот (мужчина),Саидова 2019 — Андалальский диалект,"(асс, ассул, ал) этот (мужчина); ав чи щуви? кто этот человек? ассул гIамал дида гьамаро я не знаю его характера; в говорах – гьав"
АВА́,АВА́,,,"ДАНАБ веселый, жизнерадостный",Саидова 2019 — Андалальский диалект,"ДАНАБ веселый, жизнерадостный; аваданав чи веселый человек; аваданал адамал жизнерадостные люди; аваданаб гIумру веселая жизнь; аваданаб заман веселое время; аваданай цIцIуй веселая женщина"
АВА́,АВА́,,,"ДАНГО нареч. 1) весело, жизнерадостно; аваданго гIумру тIамана эз они весело провели жизнь; ниж ро- сулълъ аваданго руамагIан мы весело жили в селении 2) навеселе; сон идав аваданго вуана вчера он был навеселе;",Саидова 2019 — Андалальский диалект,"ДАНГО нареч. 1) весело, жизнерадостно; аваданго гIумру тIамана эз они весело провели жизнь; ниж ро- сулълъ аваданго руамагIан мы весело жили в селении 2) навеселе; сон идав аваданго вуана вчера он был навеселе; сал., хин. ке́ палълъ, кд. ке́ палълъа, ихтила́ талълъа"
АВА́,АВА́,,,"ДАНЛИ 1. масд.гл. аваданлде 2. (-ялълъ, -ялълъул) веселье",Саидова 2019 — Андалальский диалект,"ДАНЛИ 1. масд.гл. аваданлде 2. (-ялълъ, -ялълъул) веселье; аваданли гьубуде а) устроить веселье б) развеселиться в) развеселить когол.; аваданли гьечIаб гIумру безрадостная жизнь"
АВА́,АВА́,,,"ДАНЛ/ДЕ//АВАДАН/ДЕ (-лама, -лде, -лана, -ле) 1) быть веселым, стать жизнерадостным; веселиться 2) опьянеть, быть навеселе; гIиракъи къани, аваданлама от водки пьянеют;",Саидова 2019 — Андалальский диалект,"ДАНЛ/ДЕ//АВАДАН/ДЕ (-лама, -лде, -лана, -ле) 1) быть веселым, стать жизнерадостным; веселиться 2) опьянеть, быть навеселе; гIиракъи къани, аваданлама от водки пьянеют; кд. ава́ данлизе"
АВА́,АВА́,,,"ДАНЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд.от ава́ данлде",Саидова 2019 — Андалальский диалект,"ДАНЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд.от ава́ данлде"
АВА́,АВА́,,,"Л1 (-алълъ, -алълъул) квартал",Саидова 2019 — Андалальский диалект,"Л1 (-алълъ, -алълъул) квартал; росдал гъвекьаб авал нижний квартал села; нижер авалалълъа мажгит бан буго в нашем квартале построена мечеть"
АВА́,АВА́,,,"Л 2 (-алълъ, -алълъул) в разн.знач. начало",Саидова 2019 — Андалальский диалект,"Л 2 (-алълъ, -алълъул) в разн.знач. начало; гIурул авал начало реки; росдал авал начало поселка; охьол авал начало книги; рихадул авалалълъа дегIен буама отару возглавляет обычно козел"
АВА́,АВА́,,,"Л-АХИР (-алълъ, -алълъул) начало и конец",Саидова 2019 — Андалальский диалект,"Л-АХИР (-алълъ, -алълъул) начало и конец; авал-ахир гьечIаб дагIба бесконечный спор; авал-ахир гьечIаб ралгьад море без начала и конца; алълъул авал-ахир бихьув гьечIо этому не видно конца-краю"
АВАЛ-КЪОНО́,АВАЛ-КЪОНО́,,"(-ялълъ, -ялълъул)",1) квартал (села),Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул) 1) квартал (села); нужерго авалкъоно чорокго тугу не загрязняйте территорию своего квартала 2) окружение, окружающее; авал-къоноялълъа ссехI къотIун буго вокруг полная тишина; авал-къоноялълъаго адан гьечIо никого нет в округе"
АВАНС,АВАНС,,"(-алълъ, -алълъул)",аванс,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) аванс; аванс кьеде выдать аванс; аванс щведе получить аванс; авансалълъе кьеде выдать авансом"
АВА́,АВА́,,,НСАЛЪЛЪУЛ 1. род. п. от ава́ нс 2. авансовый,Саидова 2019 — Андалальский диалект,НСАЛЪЛЪУЛ 1. род. п. от ава́ нс 2. авансовый; авансалълъул ачёт авансовый отчет
АВА́,АВА́,,,Р аварский,Саидова 2019 — Андалальский диалект,"Р аварский; авар мацIцI аварский язык; авар халкъ аварский народ, аварцы"
АВА́,АВА́,,,"РА (-лълъ//-ялълъ, -ялълъул, -би) препятствие, помеха",Саидова 2019 — Андалальский диалект,"РА (-лълъ//-ялълъ, -ялълъул, -би) препятствие, помеха; дулълъа дие авара гьубуго ты мне не мешай; гьеб ишалълъе авара гьубуна этому делу помешали"
АВАРА/В,АВАРА/В,,"(-сс, -ссул)",аварец,Саидова 2019 — Андалальский диалект,"(-сс, -ссул) аварец"
АВАРА/Й,АВАРА/Й,,"(-лълъ, -лълъул)",аварка,Саидова 2019 — Андалальский диалект,"(-лълъ, -лълъул) аварка"
АВАРА/Л,АВАРА/Л,,"(-з, -зул)",аварцы,Саидова 2019 — Андалальский диалект,"(-з, -зул) аварцы; см. маарулал"
АВАРА́,АВАРА́,,,"Г (-асс, -ассул, -заби) пророк",Саидова 2019 — Андалальский диалект,"Г (-асс, -ассул, -заби) пророк; МухIаммад-авараг пророк Мухаммад; аварагассул хIадисал хадисы пророка  аварагассе гIоло! ради пророка!"
АВАРА́,АВАРА́,,,ГАССУЛА/Б пророческий,Саидова 2019 — Андалальский диалект,ГАССУЛА/Б пророческий; аварагассулаб гIакъилли пророческая мудрость
АВАРА́,АВАРА́,,,"ГЛИ (-ялълъ, -ялълъул) пророчество",Саидова 2019 — Андалальский диалект,"ГЛИ (-ялълъ, -ялълъул) пророчество"
АВА́,АВА́,,,"РА/Й (-лълъ, -лълъул) аварка",Саидова 2019 — Андалальский диалект,"РА/Й (-лълъ, -лълъул) аварка"
